County,HospitalID,MedicareFr,RPR,RER,r,R,r/R-1,actual penalty,current revenue
Sacramento,50516,0.296244174,20.68548775,19.99577904,0.207,0.2,0.034,0.03,1.25
Contra Costa,50523,0.36574775,22.15431786,22.14788055,0.222,0.221,0,0,1.284
Orange,50526,0.473789215,25.82136536,25.13204765,0.258,0.251,0.027,0.027,1.331
Riverside,50534,0.29397279,21.36940956,20.7768631,0.214,0.208,0.029,0.029,1.261
Ventura,50549,0.504662573,18.97702789,20.65240479,0.19,0.207,-0.081,0,1.234
Orange,50551,0.327636302,18.97268105,20.5368557,0.19,0.205,-0.076,0,1.234
Stanislaus,50557,0.311423033,21.48961449,21.47320175,0.215,0.215,0.001,0.001,1.273
Orange,50567,0.332201868,19.50798035,20.79642677,0.195,0.208,-0.062,0,1.242
Madera,50568,0.29687044,20.22922325,20.60342407,0.202,0.206,-0.018,0,1.254
Orange,50570,0.288673759,22.01815033,22.17994881,0.22,0.222,-0.007,0,1.282
Riverside,50573,0.540247738,18.51129532,20.79713249,0.185,0.208,-0.11,0,1.227
Orange,50580,0.519095302,23.81569862,23.4474411,0.238,0.234,0.016,0.016,1.302
Los Angeles,50581,0.267270654,22.22403717,22.9047699,0.222,0.229,-0.03,0,1.286
San Bernardino,50586,0.262771308,23.84112167,24.42663574,0.238,0.244,-0.024,0,1.313
Los Angeles,50588,0.274264991,23.14736938,22.65438652,0.231,0.227,0.022,0.022,1.293
Sacramento,50590,0.272998661,21.28388596,20.92488098,0.213,0.209,0.017,0.017,1.264
Los Angeles,50597,0.28606832,21.02261925,21.48035622,0.21,0.215,-0.021,0,1.266
Sacramento,50599,0.273345828,22.27928352,22.46205139,0.223,0.225,-0.008,0,1.287
Orange,50603,0.29605341,20.43271828,21.33236313,0.204,0.213,-0.042,0,1.257
Ventura,50616,0.508479238,20.63599968,21.1576004,0.206,0.212,-0.025,0,1.26
Los Angeles,50624,0.343854904,22.52207565,23.04760742,0.225,0.23,-0.023,0,1.291
Los Angeles,50625,0.422688991,23.01341438,23.66030693,0.23,0.237,-0.027,0,1.299
San Luis Obispo,50633,0.399528354,18.50014877,19.31381798,0.185,0.193,-0.042,0,1.227
San Diego,50636,0.337272853,19.17162895,20.91906929,0.192,0.209,-0.084,0,1.237
Orange,50678,0.196355581,21.70801926,21.46368027,0.217,0.215,0.011,0.011,1.274
Riverside,50684,0.344439417,22.85312462,22.265625,0.229,0.223,0.026,0.026,1.284
Santa Clara,50688,0.370174915,19.29380226,20.30309868,0.193,0.203,-0.05,0,1.239
Contra Costa,50689,0.315931737,20.26415062,19.29150963,0.203,0.193,0.05,0.03,1.242
Los Angeles,50696,0.403343678,24.49090958,24.08268356,0.245,0.241,0.017,0.017,1.315
Riverside,50701,0.216263324,22.19596672,21.41532326,0.222,0.214,0.036,0.03,1.277
Los Angeles,50704,0.460636348,24.19623947,23.71240616,0.242,0.237,0.02,0.02,1.307
San Bernardino,50709,0.340821445,22.27522469,22.33626556,0.223,0.223,-0.003,0,1.287
Kern,50724,0.571384609,21.70783806,21.57097435,0.217,0.216,0.006,0.006,1.273
Los Angeles,50735,0.214471132,22.54675865,23.11330986,0.225,0.231,-0.025,0,1.291
Los Angeles,50737,0.408450752,24.79515266,23.52199364,0.248,0.235,0.054,0.03,1.313
Los Angeles,50739,0.491623372,28.07190895,24.92219162,0.281,0.249,0.126,0.03,1.37
Los Angeles,50740,0.331961334,23.47258568,22.33551025,0.235,0.223,0.051,0.03,1.294
Los Angeles,50742,0.553057373,30.9314003,26.54471016,0.309,0.265,0.165,0.03,1.424
Orange,50744,0.202268317,21.04218864,21.22421837,0.21,0.212,-0.009,0,1.266
Orange,50746,0.150837407,20.37015343,21.2216835,0.204,0.212,-0.04,0,1.256
Los Angeles,50752,0.544773281,25.72557831,24.42788696,0.257,0.244,0.053,0.03,1.324
San Diego,50757,0.458329946,20.63543129,21.95641899,0.206,0.22,-0.06,0,1.26
Los Angeles,50761,0.508488178,22.4510746,22.10506248,0.225,0.221,0.016,0.016,1.279
Shasta,50764,0.520133555,20.10861969,21.7844162,0.201,0.218,-0.077,0,1.252
